Percentage served,Time in ms
0,1.711
1,1.785
2,1.801
3,1.811
4,1.818
5,1.826
6,1.835
7,1.842
8,1.850
9,1.857
10,1.864
11,1.872
12,1.879
13,1.886
14,1.893
15,1.900
16,1.908
17,1.915
18,1.922
19,1.928
20,1.934
21,1.941
22,1.946
23,1.951
24,1.957
25,1.963
26,1.968
27,1.973
28,1.978
29,1.984
30,1.990
31,1.995
32,2.000
33,2.006
34,2.013
35,2.019
36,2.025
37,2.031
38,2.037
39,2.043
40,2.050
41,2.055
42,2.062
43,2.069
44,2.075
45,2.082
46,2.089
47,2.097
48,2.103
49,2.110
50,2.117
51,2.125
52,2.133
53,2.141
54,2.149
55,2.156
56,2.164
57,2.171
58,2.179
59,2.188
60,2.195
61,2.204
62,2.214
63,2.223
64,2.232
65,2.242
66,2.253
67,2.264
68,2.276
69,2.287
70,2.302
71,2.313
72,2.326
73,2.342
74,2.353
75,2.370
76,2.384
77,2.400
78,2.414
79,2.429
80,2.444
81,2.463
82,2.484
83,2.501
84,2.526
85,2.546
86,2.569
87,2.592
88,2.627
89,2.660
90,2.695
91,2.729
92,2.770
93,2.814
94,2.863
95,2.930
96,3.007
97,3.106
98,3.339
99,34.489
100,97.131
