Percentage served,Time in ms
0,2.040
1,2.151
2,2.175
3,2.189
4,2.198
5,2.207
6,2.214
7,2.222
8,2.231
9,2.237
10,2.244
11,2.251
12,2.258
13,2.265
14,2.271
15,2.277
16,2.283
17,2.288
18,2.294
19,2.301
20,2.307
21,2.314
22,2.321
23,2.327
24,2.334
25,2.341
26,2.349
27,2.356
28,2.362
29,2.367
30,2.374
31,2.381
32,2.388
33,2.395
34,2.402
35,2.409
36,2.416
37,2.424
38,2.431
39,2.439
40,2.447
41,2.454
42,2.462
43,2.471
44,2.480
45,2.489
46,2.499
47,2.508
48,2.518
49,2.528
50,2.538
51,2.549
52,2.559
53,2.568
54,2.578
55,2.588
56,2.598
57,2.609
58,2.620
59,2.632
60,2.644
61,2.654
62,2.664
63,2.675
64,2.684
65,2.698
66,2.710
67,2.723
68,2.735
69,2.749
70,2.763
71,2.776
72,2.791
73,2.806
74,2.821
75,2.836
76,2.850
77,2.866
78,2.884
79,2.901
80,2.919
81,2.937
82,2.957
83,2.980
84,3.005
85,3.025
86,3.058
87,3.089
88,3.126
89,3.161
90,3.203
91,3.246
92,3.311
93,3.373
94,3.454
95,3.571
96,3.679
97,3.869
98,4.074
99,4.386
100,244.393
