Percentage served,Time in ms
0,1.423
1,1.487
2,1.505
3,1.517
4,1.527
5,1.535
6,1.542
7,1.549
8,1.554
9,1.560
10,1.565
11,1.569
12,1.573
13,1.578
14,1.582
15,1.587
16,1.591
17,1.595
18,1.599
19,1.603
20,1.607
21,1.611
22,1.614
23,1.618
24,1.622
25,1.625
26,1.629
27,1.632
28,1.636
29,1.640
30,1.644
31,1.647
32,1.651
33,1.654
34,1.658
35,1.661
36,1.664
37,1.668
38,1.671
39,1.674
40,1.677
41,1.680
42,1.684
43,1.687
44,1.690
45,1.693
46,1.696
47,1.700
48,1.703
49,1.707
50,1.710
51,1.713
52,1.717
53,1.720
54,1.723
55,1.726
56,1.730
57,1.733
58,1.736
59,1.739
60,1.743
61,1.746
62,1.750
63,1.753
64,1.757
65,1.761
66,1.765
67,1.769
68,1.773
69,1.778
70,1.782
71,1.787
72,1.792
73,1.797
74,1.803
75,1.812
76,1.820
77,1.827
78,1.838
79,1.848
80,1.856
81,1.864
82,1.874
83,1.887
84,1.902
85,1.919
86,1.935
87,1.952
88,1.971
89,1.994
90,2.025
91,2.056
92,2.085
93,2.129
94,2.178
95,2.249
96,2.336
97,2.472
98,2.611
99,2.781
100,111.227
