Percentage served,Time in ms
0,1.320
1,1.363
2,1.372
3,1.381
4,1.389
5,1.395
6,1.401
7,1.407
8,1.411
9,1.417
10,1.422
11,1.427
12,1.432
13,1.438
14,1.443
15,1.447
16,1.451
17,1.455
18,1.460
19,1.463
20,1.468
21,1.472
22,1.478
23,1.484
24,1.490
25,1.496
26,1.501
27,1.506
28,1.512
29,1.518
30,1.525
31,1.532
32,1.539
33,1.545
34,1.553
35,1.559
36,1.566
37,1.573
38,1.579
39,1.586
40,1.592
41,1.599
42,1.606
43,1.612
44,1.618
45,1.624
46,1.630
47,1.636
48,1.641
49,1.647
50,1.652
51,1.657
52,1.662
53,1.667
54,1.672
55,1.677
56,1.681
57,1.687
58,1.692
59,1.696
60,1.700
61,1.704
62,1.709
63,1.714
64,1.718
65,1.722
66,1.726
67,1.731
68,1.737
69,1.743
70,1.749
71,1.755
72,1.761
73,1.766
74,1.772
75,1.779
76,1.785
77,1.792
78,1.800
79,1.807
80,1.816
81,1.824
82,1.835
83,1.844
84,1.855
85,1.867
86,1.879
87,1.893
88,1.907
89,1.924
90,1.942
91,1.960
92,1.984
93,2.010
94,2.048
95,2.089
96,2.156
97,2.257
98,2.416
99,2.837
100,106.303
