Percentage served,Time in ms
0,0.908
1,0.951
2,0.969
3,0.983
4,0.993
5,1.001
6,1.008
7,1.014
8,1.020
9,1.027
10,1.033
11,1.039
12,1.044
13,1.048
14,1.052
15,1.057
16,1.062
17,1.066
18,1.070
19,1.074
20,1.079
21,1.083
22,1.087
23,1.090
24,1.094
25,1.097
26,1.102
27,1.106
28,1.109
29,1.113
30,1.117
31,1.120
32,1.123
33,1.127
34,1.131
35,1.134
36,1.138
37,1.141
38,1.144
39,1.148
40,1.151
41,1.154
42,1.156
43,1.159
44,1.163
45,1.165
46,1.168
47,1.172
48,1.174
49,1.178
50,1.182
51,1.184
52,1.187
53,1.191
54,1.193
55,1.197
56,1.200
57,1.204
58,1.206
59,1.210
60,1.212
61,1.215
62,1.219
63,1.222
64,1.225
65,1.229
66,1.232
67,1.235
68,1.240
69,1.244
70,1.249
71,1.253
72,1.257
73,1.263
74,1.269
75,1.275
76,1.281
77,1.289
78,1.296
79,1.302
80,1.309
81,1.317
82,1.327
83,1.336
84,1.349
85,1.362
86,1.377
87,1.392
88,1.409
89,1.432
90,1.459
91,1.494
92,1.534
93,1.583
94,1.648
95,1.719
96,1.812
97,1.938
98,2.146
99,2.510
100,635.362
