Percentage served,Time in ms
0,1.789
1,1.939
2,1.969
3,1.987
4,2.001
5,2.014
6,2.027
7,2.039
8,2.053
9,2.067
10,2.085
11,2.102
12,2.115
13,2.128
14,2.139
15,2.149
16,2.158
17,2.166
18,2.173
19,2.180
20,2.188
21,2.196
22,2.204
23,2.213
24,2.220
25,2.230
26,2.238
27,2.247
28,2.257
29,2.266
30,2.277
31,2.286
32,2.296
33,2.307
34,2.319
35,2.332
36,2.343
37,2.358
38,2.369
39,2.381
40,2.391
41,2.400
42,2.414
43,2.427
44,2.440
45,2.454
46,2.468
47,2.480
48,2.493
49,2.508
50,2.522
51,2.536
52,2.553
53,2.571
54,2.586
55,2.597
56,2.615
57,2.630
58,2.647
59,2.661
60,2.677
61,2.691
62,2.706
63,2.723
64,2.740
65,2.756
66,2.772
67,2.792
68,2.810
69,2.828
70,2.849
71,2.869
72,2.890
73,2.916
74,2.939
75,2.967
76,2.992
77,3.020
78,3.049
79,3.079
80,3.112
81,3.146
82,3.184
83,3.224
84,3.273
85,3.327
86,3.391
87,3.458
88,3.552
89,3.648
90,3.742
91,3.848
92,3.986
93,4.126
94,4.326
95,4.491
96,4.720
97,4.947
98,5.479
99,8.781
100,89.825
