Percentage served,Time in ms
0,1.714
1,1.784
2,1.794
3,1.799
4,1.804
5,1.808
6,1.812
7,1.816
8,1.819
9,1.822
10,1.826
11,1.829
12,1.832
13,1.835
14,1.838
15,1.841
16,1.844
17,1.847
18,1.850
19,1.853
20,1.855
21,1.858
22,1.861
23,1.864
24,1.867
25,1.870
26,1.872
27,1.875
28,1.877
29,1.880
30,1.882
31,1.885
32,1.888
33,1.890
34,1.892
35,1.895
36,1.897
37,1.899
38,1.902
39,1.904
40,1.907
41,1.909
42,1.911
43,1.913
44,1.915
45,1.918
46,1.920
47,1.922
48,1.925
49,1.927
50,1.930
51,1.932
52,1.934
53,1.936
54,1.938
55,1.940
56,1.943
57,1.945
58,1.948
59,1.950
60,1.952
61,1.955
62,1.958
63,1.961
64,1.964
65,1.967
66,1.969
67,1.972
68,1.975
69,1.978
70,1.981
71,1.985
72,1.989
73,1.993
74,1.997
75,2.001
76,2.005
77,2.010
78,2.015
79,2.021
80,2.027
81,2.034
82,2.042
83,2.049
84,2.057
85,2.067
86,2.077
87,2.088
88,2.103
89,2.119
90,2.136
91,2.157
92,2.181
93,2.216
94,2.265
95,2.326
96,2.415
97,2.538
98,2.752
99,34.080
100,91.065
