Percentage served,Time in ms
0,2.133
1,2.151
2,2.155
3,2.158
4,2.160
5,2.162
6,2.164
7,2.165
8,2.167
9,2.168
10,2.170
11,2.171
12,2.173
13,2.174
14,2.176
15,2.177
16,2.179
17,2.180
18,2.182
19,2.184
20,2.185
21,2.186
22,2.188
23,2.189
24,2.191
25,2.192
26,2.193
27,2.195
28,2.196
29,2.197
30,2.199
31,2.200
32,2.201
33,2.202
34,2.203
35,2.204
36,2.205
37,2.206
38,2.207
39,2.208
40,2.209
41,2.210
42,2.211
43,2.212
44,2.213
45,2.214
46,2.215
47,2.216
48,2.217
49,2.218
50,2.219
51,2.220
52,2.221
53,2.222
54,2.223
55,2.224
56,2.225
57,2.226
58,2.227
59,2.228
60,2.230
61,2.231
62,2.232
63,2.233
64,2.235
65,2.237
66,2.238
67,2.239
68,2.241
69,2.242
70,2.243
71,2.245
72,2.247
73,2.248
74,2.250
75,2.251
76,2.253
77,2.254
78,2.256
79,2.258
80,2.260
81,2.261
82,2.263
83,2.265
84,2.267
85,2.269
86,2.271
87,2.273
88,2.276
89,2.278
90,2.281
91,2.285
92,2.289
93,2.295
94,2.300
95,2.307
96,2.316
97,2.328
98,2.358
99,34.876
100,42.546
