Percentage served,Time in ms
0,1.067
1,1.079
2,1.084
3,1.089
4,1.091
5,1.093
6,1.095
7,1.096
8,1.097
9,1.099
10,1.100
11,1.101
12,1.103
13,1.105
14,1.107
15,1.108
16,1.110
17,1.111
18,1.112
19,1.113
20,1.114
21,1.115
22,1.116
23,1.116
24,1.117
25,1.118
26,1.119
27,1.120
28,1.121
29,1.122
30,1.122
31,1.123
32,1.124
33,1.125
34,1.126
35,1.127
36,1.128
37,1.129
38,1.130
39,1.131
40,1.132
41,1.133
42,1.134
43,1.135
44,1.136
45,1.137
46,1.137
47,1.138
48,1.139
49,1.140
50,1.141
51,1.142
52,1.143
53,1.144
54,1.144
55,1.145
56,1.146
57,1.147
58,1.148
59,1.148
60,1.149
61,1.150
62,1.151
63,1.152
64,1.154
65,1.154
66,1.155
67,1.156
68,1.157
69,1.158
70,1.159
71,1.160
72,1.161
73,1.162
74,1.163
75,1.164
76,1.165
77,1.166
78,1.167
79,1.168
80,1.169
81,1.171
82,1.173
83,1.174
84,1.176
85,1.178
86,1.180
87,1.182
88,1.184
89,1.186
90,1.189
91,1.192
92,1.194
93,1.197
94,1.201
95,1.205
96,1.210
97,1.220
98,1.246
99,5.388
100,9.676
