Percentage served,Time in ms
0,1.067
1,1.077
2,1.082
3,1.087
4,1.089
5,1.091
6,1.092
7,1.094
8,1.095
9,1.096
10,1.097
11,1.098
12,1.099
13,1.101
14,1.102
15,1.103
16,1.104
17,1.105
18,1.106
19,1.107
20,1.108
21,1.109
22,1.110
23,1.110
24,1.111
25,1.112
26,1.113
27,1.113
28,1.114
29,1.115
30,1.115
31,1.116
32,1.117
33,1.118
34,1.118
35,1.119
36,1.120
37,1.121
38,1.122
39,1.122
40,1.123
41,1.124
42,1.125
43,1.127
44,1.128
45,1.129
46,1.130
47,1.131
48,1.131
49,1.132
50,1.133
51,1.134
52,1.135
53,1.136
54,1.137
55,1.138
56,1.139
57,1.140
58,1.141
59,1.142
60,1.143
61,1.144
62,1.145
63,1.145
64,1.146
65,1.147
66,1.148
67,1.149
68,1.150
69,1.151
70,1.152
71,1.153
72,1.154
73,1.155
74,1.156
75,1.157
76,1.158
77,1.160
78,1.161
79,1.162
80,1.163
81,1.164
82,1.166
83,1.168
84,1.169
85,1.171
86,1.172
87,1.174
88,1.176
89,1.178
90,1.181
91,1.183
92,1.186
93,1.189
94,1.193
95,1.196
96,1.202
97,1.211
98,1.583
99,5.895
100,9.359
