Percentage served,Time in ms
0,2.307
1,2.387
2,2.426
3,2.479
4,2.515
5,2.546
6,2.563
7,2.599
8,2.617
9,2.657
10,2.675
11,2.691
12,2.718
13,2.732
14,2.766
15,2.786
16,2.800
17,2.814
18,2.836
19,2.861
20,2.879
21,2.891
22,2.926
23,2.966
24,2.991
25,3.017
26,3.028
27,3.056
28,3.068
29,3.107
30,3.124
31,3.158
32,3.180
33,3.194
34,3.213
35,3.246
36,3.269
37,3.281
38,3.302
39,3.340
40,3.357
41,3.382
42,3.421
43,3.449
44,3.474
45,3.496
46,3.524
47,3.576
48,3.598
49,3.620
50,3.651
51,3.688
52,3.730
53,3.763
54,3.792
55,3.809
56,3.838
57,3.869
58,3.897
59,3.922
60,3.940
61,3.956
62,3.976
63,4.003
64,4.025
65,4.054
66,4.078
67,4.114
68,4.150
69,4.211
70,4.240
71,4.267
72,4.297
73,4.329
74,4.362
75,4.386
76,4.407
77,4.432
78,4.467
79,4.494
80,4.519
81,4.544
82,4.589
83,4.632
84,4.662
85,4.698
86,4.744
87,4.782
88,4.829
89,4.886
90,4.929
91,4.992
92,5.103
93,5.186
94,5.334
95,5.454
96,5.540
97,5.866
98,28.777
99,31.676
100,33.839
