Percentage served,Time in ms
0,2.407
1,2.484
2,2.507
3,2.529
4,2.545
5,2.559
6,2.571
7,2.584
8,2.595
9,2.605
10,2.614
11,2.623
12,2.634
13,2.642
14,2.652
15,2.661
16,2.670
17,2.678
18,2.685
19,2.695
20,2.702
21,2.712
22,2.718
23,2.725
24,2.734
25,2.742
26,2.750
27,2.758
28,2.765
29,2.773
30,2.780
31,2.787
32,2.794
33,2.803
34,2.809
35,2.817
36,2.825
37,2.833
38,2.841
39,2.848
40,2.857
41,2.864
42,2.872
43,2.880
44,2.887
45,2.896
46,2.905
47,2.914
48,2.924
49,2.934
50,2.943
51,2.951
52,2.959
53,2.969
54,2.979
55,2.989
56,3.001
57,3.010
58,3.021
59,3.031
60,3.042
61,3.053
62,3.067
63,3.081
64,3.093
65,3.109
66,3.125
67,3.140
68,3.156
69,3.173
70,3.189
71,3.209
72,3.226
73,3.244
74,3.269
75,3.287
76,3.311
77,3.332
78,3.354
79,3.380
80,3.404
81,3.433
82,3.466
83,3.504
84,3.542
85,3.582
86,3.622
87,3.666
88,3.715
89,3.768
90,3.817
91,3.872
92,3.939
93,4.016
94,4.100
95,4.175
96,4.276
97,4.394
98,4.566
99,4.810
100,205.764
