Percentage served,Time in ms
0,1.055
1,1.068
2,1.071
3,1.075
4,1.078
5,1.080
6,1.081
7,1.083
8,1.084
9,1.085
10,1.086
11,1.086
12,1.087
13,1.088
14,1.089
15,1.090
16,1.090
17,1.091
18,1.092
19,1.093
20,1.094
21,1.095
22,1.096
23,1.097
24,1.098
25,1.099
26,1.100
27,1.102
28,1.103
29,1.103
30,1.104
31,1.105
32,1.106
33,1.107
34,1.108
35,1.108
36,1.109
37,1.110
38,1.111
39,1.112
40,1.112
41,1.113
42,1.114
43,1.115
44,1.116
45,1.117
46,1.118
47,1.119
48,1.120
49,1.121
50,1.122
51,1.123
52,1.124
53,1.125
54,1.126
55,1.126
56,1.127
57,1.128
58,1.129
59,1.130
60,1.131
61,1.131
62,1.132
63,1.133
64,1.134
65,1.135
66,1.136
67,1.137
68,1.138
69,1.139
70,1.140
71,1.141
72,1.142
73,1.143
74,1.144
75,1.145
76,1.146
77,1.147
78,1.148
79,1.149
80,1.151
81,1.152
82,1.153
83,1.155
84,1.156
85,1.158
86,1.160
87,1.161
88,1.163
89,1.165
90,1.168
91,1.170
92,1.173
93,1.176
94,1.180
95,1.185
96,1.191
97,1.200
98,1.574
99,4.719
100,8.347
