Percentage served,Time in ms
0,1.086
1,1.110
2,1.114
3,1.116
4,1.118
5,1.120
6,1.121
7,1.123
8,1.124
9,1.125
10,1.126
11,1.127
12,1.127
13,1.128
14,1.129
15,1.129
16,1.130
17,1.130
18,1.131
19,1.132
20,1.132
21,1.133
22,1.133
23,1.134
24,1.134
25,1.135
26,1.135
27,1.136
28,1.136
29,1.137
30,1.137
31,1.138
32,1.138
33,1.139
34,1.139
35,1.140
36,1.140
37,1.141
38,1.141
39,1.142
40,1.142
41,1.143
42,1.143
43,1.144
44,1.144
45,1.145
46,1.145
47,1.146
48,1.147
49,1.147
50,1.148
51,1.148
52,1.149
53,1.149
54,1.150
55,1.150
56,1.151
57,1.152
58,1.152
59,1.153
60,1.154
61,1.154
62,1.155
63,1.156
64,1.156
65,1.157
66,1.158
67,1.159
68,1.160
69,1.161
70,1.162
71,1.162
72,1.163
73,1.164
74,1.166
75,1.167
76,1.168
77,1.169
78,1.170
79,1.171
80,1.172
81,1.174
82,1.175
83,1.176
84,1.178
85,1.179
86,1.181
87,1.182
88,1.184
89,1.185
90,1.187
91,1.189
92,1.192
93,1.194
94,1.197
95,1.201
96,1.206
97,1.218
98,1.380
99,1.417
100,5.389
