Percentage served,Time in ms
0,0.510
1,0.514
2,0.515
3,0.515
4,0.516
5,0.516
6,0.517
7,0.517
8,0.517
9,0.518
10,0.518
11,0.518
12,0.518
13,0.518
14,0.519
15,0.519
16,0.519
17,0.519
18,0.519
19,0.520
20,0.520
21,0.520
22,0.520
23,0.520
24,0.520
25,0.521
26,0.521
27,0.521
28,0.521
29,0.521
30,0.521
31,0.521
32,0.522
33,0.522
34,0.522
35,0.522
36,0.522
37,0.522
38,0.523
39,0.523
40,0.523
41,0.523
42,0.523
43,0.523
44,0.524
45,0.524
46,0.524
47,0.524
48,0.524
49,0.525
50,0.525
51,0.525
52,0.525
53,0.526
54,0.526
55,0.526
56,0.527
57,0.527
58,0.527
59,0.528
60,0.528
61,0.529
62,0.530
63,0.531
64,0.533
65,0.535
66,0.536
67,0.538
68,0.539
69,0.540
70,0.541
71,0.542
72,0.543
73,0.544
74,0.545
75,0.547
76,0.548
77,0.549
78,0.550
79,0.551
80,0.551
81,0.552
82,0.552
83,0.553
84,0.554
85,0.554
86,0.555
87,0.556
88,0.556
89,0.557
90,0.558
91,0.560
92,0.562
93,0.568
94,0.574
95,0.577
96,0.583
97,0.653
98,0.710
99,1.510
100,1.922
