Percentage served,Time in ms
0,2.144
1,2.163
2,2.168
3,2.172
4,2.174
5,2.176
6,2.178
7,2.180
8,2.181
9,2.183
10,2.184
11,2.185
12,2.187
13,2.189
14,2.190
15,2.191
16,2.192
17,2.193
18,2.194
19,2.196
20,2.197
21,2.198
22,2.200
23,2.201
24,2.202
25,2.203
26,2.205
27,2.206
28,2.207
29,2.208
30,2.209
31,2.211
32,2.212
33,2.213
34,2.214
35,2.215
36,2.216
37,2.217
38,2.217
39,2.218
40,2.219
41,2.220
42,2.221
43,2.222
44,2.223
45,2.224
46,2.225
47,2.226
48,2.227
49,2.228
50,2.229
51,2.229
52,2.230
53,2.231
54,2.232
55,2.233
56,2.234
57,2.235
58,2.236
59,2.237
60,2.238
61,2.239
62,2.240
63,2.241
64,2.242
65,2.243
66,2.244
67,2.245
68,2.246
69,2.247
70,2.249
71,2.250
72,2.251
73,2.252
74,2.254
75,2.255
76,2.256
77,2.258
78,2.259
79,2.261
80,2.262
81,2.264
82,2.266
83,2.267
84,2.269
85,2.271
86,2.273
87,2.274
88,2.277
89,2.279
90,2.281
91,2.283
92,2.286
93,2.289
94,2.293
95,2.297
96,2.302
97,2.311
98,2.335
99,31.422
100,36.133
