Percentage served,Time in ms
0,2.223
1,2.257
2,2.262
3,2.267
4,2.269
5,2.271
6,2.273
7,2.275
8,2.277
9,2.279
10,2.280
11,2.282
12,2.283
13,2.285
14,2.286
15,2.288
16,2.289
17,2.290
18,2.291
19,2.293
20,2.294
21,2.295
22,2.296
23,2.297
24,2.298
25,2.299
26,2.300
27,2.301
28,2.302
29,2.303
30,2.304
31,2.306
32,2.306
33,2.307
34,2.308
35,2.309
36,2.310
37,2.311
38,2.312
39,2.312
40,2.314
41,2.315
42,2.315
43,2.316
44,2.317
45,2.318
46,2.319
47,2.320
48,2.321
49,2.322
50,2.323
51,2.324
52,2.325
53,2.325
54,2.326
55,2.327
56,2.328
57,2.329
58,2.330
59,2.331
60,2.332
61,2.333
62,2.334
63,2.335
64,2.336
65,2.337
66,2.338
67,2.339
68,2.340
69,2.342
70,2.343
71,2.344
72,2.345
73,2.347
74,2.348
75,2.350
76,2.351
77,2.353
78,2.354
79,2.356
80,2.358
81,2.359
82,2.361
83,2.363
84,2.365
85,2.367
86,2.369
87,2.372
88,2.374
89,2.377
90,2.381
91,2.385
92,2.389
93,2.395
94,2.403
95,2.412
96,2.428
97,2.481
98,3.888
99,4.536
100,24.480
