Percentage served,Time in ms
0,1.476
1,1.502
2,1.507
3,1.508
4,1.510
5,1.511
6,1.512
7,1.513
8,1.514
9,1.514
10,1.515
11,1.516
12,1.517
13,1.517
14,1.518
15,1.519
16,1.520
17,1.520
18,1.521
19,1.522
20,1.523
21,1.524
22,1.525
23,1.526
24,1.527
25,1.528
26,1.530
27,1.531
28,1.532
29,1.533
30,1.534
31,1.535
32,1.535
33,1.536
34,1.537
35,1.538
36,1.539
37,1.540
38,1.541
39,1.542
40,1.543
41,1.544
42,1.545
43,1.546
44,1.547
45,1.548
46,1.550
47,1.551
48,1.552
49,1.552
50,1.553
51,1.554
52,1.555
53,1.555
54,1.556
55,1.556
56,1.557
57,1.557
58,1.558
59,1.559
60,1.559
61,1.560
62,1.560
63,1.561
64,1.561
65,1.562
66,1.563
67,1.564
68,1.564
69,1.565
70,1.566
71,1.567
72,1.568
73,1.570
74,1.571
75,1.572
76,1.573
77,1.575
78,1.576
79,1.577
80,1.578
81,1.579
82,1.580
83,1.581
84,1.582
85,1.583
86,1.585
87,1.586
88,1.587
89,1.588
90,1.590
91,1.592
92,1.595
93,1.598
94,1.602
95,1.611
96,1.627
97,1.871
98,3.449
99,4.617
100,5.521
