Percentage served,Time in ms
0,2.154
1,2.175
2,2.179
3,2.182
4,2.184
5,2.186
6,2.188
7,2.190
8,2.192
9,2.193
10,2.194
11,2.195
12,2.197
13,2.198
14,2.199
15,2.200
16,2.202
17,2.203
18,2.204
19,2.205
20,2.206
21,2.208
22,2.209
23,2.210
24,2.211
25,2.212
26,2.213
27,2.214
28,2.215
29,2.216
30,2.217
31,2.218
32,2.219
33,2.220
34,2.221
35,2.222
36,2.223
37,2.224
38,2.225
39,2.225
40,2.226
41,2.227
42,2.228
43,2.229
44,2.230
45,2.231
46,2.231
47,2.232
48,2.233
49,2.234
50,2.235
51,2.236
52,2.237
53,2.238
54,2.238
55,2.239
56,2.240
57,2.241
58,2.242
59,2.243
60,2.244
61,2.245
62,2.246
63,2.246
64,2.248
65,2.249
66,2.250
67,2.251
68,2.252
69,2.253
70,2.254
71,2.255
72,2.257
73,2.258
74,2.259
75,2.260
76,2.262
77,2.263
78,2.264
79,2.266
80,2.267
81,2.269
82,2.270
83,2.272
84,2.274
85,2.276
86,2.278
87,2.280
88,2.282
89,2.284
90,2.286
91,2.289
92,2.291
93,2.294
94,2.298
95,2.303
96,2.310
97,2.320
98,2.344
99,30.318
100,35.549
