Percentage served,Time in ms
0,1.656
1,1.690
2,1.696
3,1.700
4,1.703
5,1.706
6,1.708
7,1.709
8,1.711
9,1.712
10,1.714
11,1.715
12,1.717
13,1.718
14,1.720
15,1.721
16,1.722
17,1.723
18,1.724
19,1.725
20,1.726
21,1.727
22,1.728
23,1.729
24,1.730
25,1.731
26,1.732
27,1.733
28,1.734
29,1.735
30,1.736
31,1.737
32,1.737
33,1.738
34,1.739
35,1.740
36,1.741
37,1.741
38,1.742
39,1.743
40,1.744
41,1.745
42,1.746
43,1.746
44,1.747
45,1.748
46,1.749
47,1.750
48,1.750
49,1.751
50,1.752
51,1.753
52,1.754
53,1.755
54,1.756
55,1.756
56,1.757
57,1.758
58,1.759
59,1.760
60,1.761
61,1.762
62,1.762
63,1.763
64,1.765
65,1.765
66,1.766
67,1.768
68,1.769
69,1.770
70,1.771
71,1.772
72,1.774
73,1.775
74,1.776
75,1.777
76,1.779
77,1.780
78,1.781
79,1.783
80,1.785
81,1.787
82,1.788
83,1.790
84,1.791
85,1.793
86,1.796
87,1.798
88,1.801
89,1.804
90,1.807
91,1.811
92,1.815
93,1.821
94,1.828
95,1.838
96,1.851
97,1.872
98,1.903
99,2.597
100,3.151
