Percentage served,Time in ms
0,1.481
1,1.492
2,1.501
3,1.504
4,1.506
5,1.507
6,1.507
7,1.508
8,1.508
9,1.509
10,1.510
11,1.510
12,1.510
13,1.511
14,1.511
15,1.512
16,1.512
17,1.512
18,1.513
19,1.513
20,1.514
21,1.514
22,1.514
23,1.515
24,1.515
25,1.515
26,1.516
27,1.516
28,1.517
29,1.517
30,1.517
31,1.518
32,1.518
33,1.519
34,1.519
35,1.520
36,1.520
37,1.520
38,1.521
39,1.521
40,1.522
41,1.522
42,1.523
43,1.523
44,1.524
45,1.524
46,1.525
47,1.526
48,1.526
49,1.527
50,1.527
51,1.528
52,1.529
53,1.529
54,1.530
55,1.531
56,1.531
57,1.532
58,1.533
59,1.533
60,1.534
61,1.535
62,1.535
63,1.536
64,1.537
65,1.537
66,1.538
67,1.539
68,1.539
69,1.540
70,1.540
71,1.541
72,1.541
73,1.542
74,1.543
75,1.544
76,1.545
77,1.545
78,1.546
79,1.547
80,1.548
81,1.549
82,1.550
83,1.551
84,1.552
85,1.554
86,1.555
87,1.556
88,1.558
89,1.561
90,1.564
91,1.567
92,1.571
93,1.575
94,1.583
95,1.600
96,1.789
97,1.826
98,3.860
99,4.095
100,5.023
