Percentage served,Time in ms
0,2.112
1,2.139
2,2.144
3,2.147
4,2.149
5,2.151
6,2.153
7,2.155
8,2.157
9,2.158
10,2.159
11,2.161
12,2.162
13,2.163
14,2.165
15,2.166
16,2.167
17,2.168
18,2.170
19,2.171
20,2.172
21,2.173
22,2.175
23,2.176
24,2.177
25,2.178
26,2.179
27,2.181
28,2.182
29,2.183
30,2.184
31,2.185
32,2.186
33,2.187
34,2.188
35,2.189
36,2.190
37,2.191
38,2.192
39,2.193
40,2.194
41,2.195
42,2.196
43,2.197
44,2.198
45,2.199
46,2.200
47,2.201
48,2.202
49,2.203
50,2.203
51,2.204
52,2.205
53,2.206
54,2.207
55,2.208
56,2.209
57,2.210
58,2.211
59,2.212
60,2.213
61,2.214
62,2.214
63,2.215
64,2.216
65,2.217
66,2.218
67,2.220
68,2.221
69,2.222
70,2.223
71,2.224
72,2.225
73,2.226
74,2.228
75,2.229
76,2.230
77,2.232
78,2.233
79,2.234
80,2.236
81,2.237
82,2.239
83,2.241
84,2.242
85,2.244
86,2.246
87,2.248
88,2.250
89,2.252
90,2.254
91,2.257
92,2.259
93,2.262
94,2.266
95,2.270
96,2.276
97,2.285
98,2.304
99,34.504
100,128.270
