Percentage served,Time in ms
0,2.121
1,2.150
2,2.154
3,2.158
4,2.160
5,2.163
6,2.165
7,2.166
8,2.168
9,2.170
10,2.171
11,2.173
12,2.174
13,2.175
14,2.177
15,2.178
16,2.179
17,2.180
18,2.182
19,2.183
20,2.184
21,2.185
22,2.186
23,2.187
24,2.189
25,2.190
26,2.191
27,2.192
28,2.193
29,2.194
30,2.195
31,2.196
32,2.198
33,2.199
34,2.200
35,2.201
36,2.202
37,2.203
38,2.204
39,2.205
40,2.205
41,2.206
42,2.207
43,2.208
44,2.209
45,2.210
46,2.211
47,2.212
48,2.213
49,2.214
50,2.215
51,2.215
52,2.216
53,2.217
54,2.218
55,2.219
56,2.220
57,2.221
58,2.222
59,2.223
60,2.224
61,2.225
62,2.226
63,2.227
64,2.227
65,2.228
66,2.229
67,2.231
68,2.232
69,2.233
70,2.234
71,2.235
72,2.236
73,2.237
74,2.238
75,2.240
76,2.241
77,2.242
78,2.243
79,2.245
80,2.246
81,2.248
82,2.249
83,2.251
84,2.253
85,2.254
86,2.256
87,2.258
88,2.260
89,2.262
90,2.264
91,2.267
92,2.269
93,2.272
94,2.276
95,2.281
96,2.287
97,2.297
98,2.325
99,30.819
100,116.333
