Percentage served,Time in ms
0,1.472
1,1.496
2,1.502
3,1.505
4,1.507
5,1.509
6,1.510
7,1.511
8,1.512
9,1.513
10,1.513
11,1.514
12,1.515
13,1.515
14,1.516
15,1.517
16,1.517
17,1.518
18,1.518
19,1.519
20,1.519
21,1.520
22,1.521
23,1.521
24,1.522
25,1.522
26,1.523
27,1.523
28,1.524
29,1.524
30,1.525
31,1.525
32,1.526
33,1.526
34,1.527
35,1.528
36,1.528
37,1.529
38,1.529
39,1.530
40,1.531
41,1.531
42,1.532
43,1.533
44,1.533
45,1.534
46,1.534
47,1.535
48,1.536
49,1.536
50,1.537
51,1.538
52,1.538
53,1.539
54,1.540
55,1.540
56,1.541
57,1.542
58,1.542
59,1.543
60,1.544
61,1.544
62,1.545
63,1.546
64,1.546
65,1.547
66,1.548
67,1.548
68,1.549
69,1.550
70,1.550
71,1.551
72,1.552
73,1.552
74,1.553
75,1.554
76,1.555
77,1.556
78,1.557
79,1.558
80,1.559
81,1.560
82,1.561
83,1.562
84,1.564
85,1.565
86,1.567
87,1.569
88,1.570
89,1.572
90,1.575
91,1.577
92,1.580
93,1.583
94,1.587
95,1.592
96,1.599
97,1.616
98,4.101
99,4.285
100,106.042
